,frame,car,x1,y1,w,h,6,7,8,9,x_c,y_c,speed
0,1,1,276.1961669921875,331.072509765625,80.6678466796875,80.8748779296875,0.7756429314613342,-1,-1,-1,316,371,18.477274333693725
1,1,2,270.4268798828125,227.1326446533203,61.77520751953126,53.34129333496094,0.7503024339675903,-1,-1,-1,301,253,24.03553073000644
2,1,3,717.8009033203125,196.9253692626953,96.11773681640624,44.91419982910156,0.7163591384887695,-1,-1,-1,765,219,0.0
3,1,4,1190.7965087890625,308.5113830566406,89.3358154296875,50.62921142578125,0.6356144547462463,-1,-1,-1,1235,333,14.460262032806746
4,1,5,295.92547607421875,121.5783462524414,41.57183837890625,36.72399139404297,0.5061211585998535,-1,-1,-1,316,139,60.341310772933525
5,1,6,297.5946350097656,89.72760009765625,34.16619873046875,26.38623809814453,0.4651221334934234,-1,-1,-1,314,102,127.45543446739995
6,1,7,1083.312255859375,118.27648162841795,75.3883056640625,33.738914489746094,0.4141886830329895,-1,-1,-1,1121,135,0.0
7,1,8,1219.1192626953125,262.4947509765625,59.8402099609375,39.052337646484375,0.4054949283599853,-1,-1,-1,1249,282,0.0
8,2,1,276.87876546065195,332.2689753760976,79.80382530004483,79.97061686870481,0.7395247220993042,-1,-1,-1,316,372,20.205814229014564
9,2,2,270.2977288620187,227.1539760621126,62.0283984973114,53.56733211801072,0.763312816619873,-1,-1,-1,301,253,25.4404948004848
10,2,3,717.4195803128771,196.8601171320135,96.43569379783187,45.06987541766206,0.7141408920288086,-1,-1,-1,765,219,0.0
11,2,4,1193.9750495939854,309.2602465921197,88.59719650062692,50.24153856009491,0.6580125093460083,-1,-1,-1,1238,334,17.359234960271774
12,2,5,295.7884327358586,121.58873389378068,41.86989144291028,36.99888320796746,0.5515807867050171,-1,-1,-1,316,140,60.02214363521492
13,2,6,297.6595556920046,89.75864385179251,34.35983738883109,26.55795527686757,0.492841511964798,-1,-1,-1,314,103,126.46033952282278
14,3,1,278.3410630925016,334.54986980467413,80.9181843298186,81.02977363379213,0.7159163355827332,-1,-1,-1,318,375,20.815531843770284
15,3,2,270.2361413978061,227.75470972474432,62.27048101528715,53.77668974276559,0.6875141859054565,-1,-1,-1,301,254,27.730542145397553
16,3,3,717.4094264842277,196.8715735817152,96.4333857738716,45.07955708489015,0.7174587249755859,-1,-1,-1,765,219,0.0
17,3,4,1196.0337249190447,309.74129340451293,87.54725683877606,49.7488381382805,0.6637706160545349,-1,-1,-1,1239,334,0.0
18,3,5,295.4647039522516,121.54976044628268,42.46565675836086,37.55940089934581,0.5506075024604797,-1,-1,-1,316,140,59.798726638811885
19,3,6,297.6196819069251,89.7419497129908,34.484704375592564,26.688721585747352,0.4928989708423614,-1,-1,-1,314,103,125.76377306161876
20,3,9,1104.485849856566,241.5577972412109,71.27100048218011,42.982913208007815,0.4567351937294006,-1,-1,-1,1140,263,0.0
21,3,10,465.6142924311746,121.56482238769532,39.89824008882276,28.949151611328126,0.5338233709335327,-1,-1,-1,485,136,91.30058021929273
22,4,1,277.54826462385654,336.6915188358197,80.00178656814413,80.01912214310231,0.7587172389030457,-1,-1,-1,317,376,22.269715117495203
23,4,2,269.8338937250551,229.52388413241383,63.01706772130255,54.44282379425822,0.7282862663269043,-1,-1,-1,301,256,28.71452575708812
24,4,3,717.4693261244379,196.92273348780137,96.35114337258447,45.05128194451008,0.7191098928451538,-1,-1,-1,765,219,0.0
25,4,4,1200.5376313431018,310.8611582393659,84.51102312345515,48.17570997339329,0.6007499694824219,-1,-1,-1,1242,334,0.0
26,4,5,295.5544264692045,121.88274264431652,42.05093831647049,37.2403582626128,0.5242412686347961,-1,-1,-1,316,140,65.3647033981317
27,4,6,297.5478612898325,91.15206880827022,34.59506831673443,26.837807867434783,0.4450589418411255,-1,-1,-1,314,104,111.9250675093819
28,4,9,1104.5282981942046,241.5619417209772,71.15398350034512,42.92367374168459,0.4632640182971954,-1,-1,-1,1140,263,3.9223672577344826
29,4,10,465.178618858717,121.48508665588878,39.95454749972257,29.02373193443532,0.501122236251831,-1,-1,-1,485,135,91.99713084353793
30,5,1,277.18936851830176,337.29787247943784,79.79492223528047,79.70675435510638,0.7575358152389526,-1,-1,-1,317,377,23.822866444077775
31,5,2,269.70698916485304,230.0770828052923,63.23965117182401,54.66062320611757,0.7286968231201172,-1,-1,-1,301,257,27.834243931381206
32,5,3,717.5183602191995,196.9529957182164,96.26396032749076,45.02104724851744,0.719087541103363,-1,-1,-1,765,219,0.0
33,5,4,1201.9845124673989,311.2043537197561,83.34369212195966,47.68512693706453,0.5979987978935242,-1,-1,-1,1243,335,0.0
34,5,5,295.61556008617106,121.98980317501336,41.85428881295735,37.12335338561402,0.5243855118751526,-1,-1,-1,316,140,67.72158963644114
35,5,6,297.5521197111242,91.6061557644324,34.56324206362577,26.888566194489957,0.4455160796642303,-1,-1,-1,314,105,89.23919184858005
36,5,9,1104.5821415315845,241.59242908360764,71.03937279679818,42.87022362384441,0.4640136063098907,-1,-1,-1,1140,263,6.66802433814862
37,5,10,465.06625149261856,121.46368218817184,39.90457837712705,29.036037651893345,0.501055121421814,-1,-1,-1,485,135,92.48471628050957
38,6,1,277.5878243453342,339.7727561635428,82.20598495652524,82.10472426926589,0.7812251448631287,-1,-1,-1,318,380,24.77913551416694
39,6,2,269.6281924226306,231.0110044709485,64.08487072477651,55.44114268041491,0.7338669300079346,-1,-1,-1,301,258,29.8169556612337
40,6,3,717.5633990711973,196.9695974000351,96.18692543511553,44.99570602032543,0.7197062373161316,-1,-1,-1,765,219,0.0
